start_station_name,start_lat,start_lng,starts_2013,starts_2018,starts_2023,end_station_name,end_lat,end_lng,ends_2013,ends_2018,ends_2023
Driggs Ave & Lorimer St,40.721910329048676,-73.95059466085719,,1437.0,2801.0,Driggs Ave & Lorimer St,40.72179133963545,-73.95041539957113,,1412.0,2798
Driggs Ave & N 9 St,40.71832820583115,-73.95532493278272,,,3923.0,Driggs Ave & N 9 St,40.71816969461906,-73.95520135751295,,,3968
Driggs Ave & N Henry St,40.7233261859051,-73.94315380597098,,1432.0,850.0,Driggs Ave & N Henry St,40.72325,-73.94308,,1455.0,858
Driggs Ave & S 2 St,40.71272749000531,-73.96088046023917,,,2952.0,Driggs Ave & S 2 St,40.712628,-73.960575,,,2943
Duane St & Hudson St,40.7172356255059,-74.0090273642598,,,1949.0,Duane St & Hudson St,40.71703,-74.00925,,,1924
Duffield St & Willoughby St,40.69255510265636,-73.98436875615313,717.0,2837.0,2941.0,Duffield St & Willoughby St,40.692215890074905,-73.98428439972761,693.0,2799.0,2937
Dwight St & Van Dyke St,40.67388934619862,-74.01189916181616,,252.0,443.0,Dwight St & Van Dyke St,40.6736355167102,-74.01195556223843,,327.0,443
Dyckman St & 10 Ave,40.858086169445386,-73.92356479339314,,,231.0,Dyckman St & 10 Ave,40.85890447538412,-73.9230939745903,,,233
Dyckman St & Henshaw St,40.866758942475734,-73.92970771313365,,,419.0,Dyckman St & Henshaw St,40.867357,-73.92936,,,465
Dyckman St & Staff St,40.86858082984848,-73.93148529521079,,,990.0,Dyckman St & Staff St,40.868846,-73.931537,,,999
E 1 St & 1 Ave,40.72349674289999,-73.98862312790779,,,7297.0,E 1 St & 1 Ave,40.72335597962728,-73.98864984527002,,,7389
E 1 St & Bowery,40.72489420954605,-73.9919576091825,,,4230.0,E 1 St & Bowery,40.72486122228869,-73.99213135201369,,,4288
E 10 St & 2 Ave,40.72975832214757,-73.98650264014931,,,5880.0,E 10 St & 2 Ave,40.72970805637389,-73.98659795528722,,,5938
E 10 St & Avenue A,40.72757098255291,-73.98127587050786,3090.0,6274.0,6265.0,E 10 St & Avenue A,40.72740794004758,-73.98142005995243,3158.0,7589.0,6306
E 102 St & 1 Ave,40.78669728608829,-73.94189276733582,,1696.0,2556.0,E 102 St & 1 Ave,40.786994600313356,-73.94164801998433,,1737.0,2553
E 102 St & Park Ave,40.79035739769781,-73.95044084180658,,766.0,1327.0,E 102 St & Park Ave,40.7904828001506,-73.95033068024095,,781.0,1328
E 103 St & Lexington Ave,40.78984025018255,-73.94772201212152,,814.0,1868.0,E 103 St & Lexington Ave,40.7903051,-73.94755757,,839.0,1883
E 106 St & 1 Ave,40.788599589428465,-73.93998083216216,,424.0,890.0,E 106 St & 1 Ave,40.78925290022447,-73.93956236916948,,450.0,891
E 106 St & 2 Ave,40.79040091465159,-73.94190599654691,,,1742.0,E 106 St & 2 Ave,40.79058606775312,-73.94195795062039,,,1743
E 106 St & Lexington Ave,40.791632021116826,-73.94616505919568,,651.0,1632.0,E 106 St & Lexington Ave,40.791976,-73.945993,,667.0,1640
E 106 St & Madison Ave,40.79315147729738,-73.9494849565516,,464.0,1715.0,E 106 St & Madison Ave,40.7934337,-73.94945003,,459.0,1714
E 11 St & 1 Ave,40.72965530535837,-73.98422062670078,3611.0,4824.0,5112.0,E 11 St & 1 Ave,40.72953836964078,-73.98426725974757,3637.0,4870.0,5150
E 11 St & 3 Ave,40.731330751584444,-73.98838041781742,,,4212.0,E 11 St & 3 Ave,40.73127,-73.98849,,,4257
E 11 St & Avenue B,40.727554688426174,-73.9795062510333,,,4794.0,E 11 St & Avenue B,40.72746420688065,-73.9795041828965,,,4782
E 114 St & 1 Ave,40.79438806691963,-73.93637263323319,,498.0,1265.0,E 114 St & 1 Ave,40.7945663,-73.9362541,,495.0,1307
